index,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes
1840907,2010-04-18,13140.0,"BURGESS AVE & WHITE BRIDGE PIKE, NASHVILLE, TN, 37209",36.145004,-86.8579697,1.0,5103.0,113.0,23.0,white,male,88ef34d431,vehicular,moving traffic violation,True,False,False,arrest,,,,False,False,False,False,,moving traffic violation,TN,
492044,2015-01-19,19920.0,"DUE WEST AVE W & S GRAYCROFT AVE, MADISON, TN, 37115",36.2491867,-86.7344591,7.0,1797.0,723.0,45.0,black,female,2d9b91c2d2,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,tail light out
431170,2015-01-15,1020.0,"S GALLATIN PIKE & MADISON BLVD, MADISON, TN, 37115",36.2549788,-86.7152461,7.0,1623.0,711.0,21.0,black,female,576170def4,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
2066423,2013-05-17,62760.0,"CHARLOTTE PIKE & W HILLWOOD DR, NASHVILLE, TN, 37209",36.1390929,-86.8805335,1.0,5009.0,123.0,35.0,white,male,b91c7a6f67,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
2899480,2010-09-01,28140.0,"BELL RD & DODSON CHAPEL RD, HERMITAGE, TN, 37076",36.1633098,-86.613147,5.0,9501.0,521.0,53.0,white,female,fc43f6017d,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
543402,2012-12-13,67560.0,"3RD AVE S & ASH ST, NASHVILLE, TN, 37210",36.1527862,-86.7705625,4.0,4005.0,425.0,26.0,white,male,8ad42740bd,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,RAN STOP SIGN
1446083,2012-02-26,55380.0,"BELL RD & DODSON CHAPEL RD, HERMITAGE, TN, 37076",36.1633098,-86.613147,5.0,9501.0,521.0,18.0,black,male,6d13b2ff93,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
497796,2012-01-20,62160.0,"W TRINITY LN & BAPTIST WORLD CENTER DR, NASHVILLE, TN, 37207",36.2070447,-86.7915951,6.0,3031.0,623.0,34.0,white,male,3b9274855e,vehicular,registration,False,False,True,warning,,,,False,False,False,False,,registration,TN,
1036418,2017-09-25,75600.0,"6TH AVE S & LAFAYETTE ST, NASHVILLE, TN, 37203",36.1533087,-86.775682,4.0,4039.0,425.0,58.0,white,female,a7a90aec7d,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
889536,2017-02-24,33600.0,"BRILEY PKWY N & MCGAVOCK PIKE, NASHVILLE, TN, 37214",36.2173097,-86.6932593,5.0,92941.0,515.0,44.0,white,female,53d89d125a,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,KY,
2754071,2011-08-21,55500.0,"1900 DAVIDSON ST, NASHVILLE, TN, 37206",36.1650499,-86.7335515,2.0,1235.0,215.0,22.0,white,male,8d5e63d997,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
1500866,2015-02-06,26700.0,"I 40 W & SPENCE LN, NASHVILLE, TN, 37210",36.137011,-86.724956,5.0,9006.0,513.0,22.0,black,female,6074f7bab3,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
